ID nr.,smolt,sjø,totalt,gytarar,vill/oppdrett
Årdalselva i Ro_Høstfiske_2016_001,,2,,,Vill
Årdalselva i Ro_Høstfiske_2016_002,,5,5,?-4-g,Vill
Årdalselva i Ro_Høstfiske_2016_003,,2,,,Vill
Årdalselva i Ro_Høstfiske_2016_004,3,2,5,,Vill
Årdalselva i Ro_Høstfiske_2016_005,,2,,,Vill
Årdalselva i Ro_Høstfiske_2016_006,3,1,4,,Vill
Årdalselva i Ro_Høstfiske_2016_007,3,2,5,,Vill
Årdalselva i Ro_Høstfiske_2016_008,3,1,4,,Vill
Årdalselva i Ro_Høstfiske_2016_009,2,2,4,,Vill
Årdalselva i Ro_Høstfiske_2016_010,,,,,Oppdrett
Årdalselva i Ro_Høstfiske_2016_011,,,0,,Oppdrett
Årdalselva i Ro_Høstfiske_2016_012,,,0,,Oppdrett
Årdalselva i Ro_Høstfiske_2016_013,2,3,5,,Vill
Årdalselva i Ro_Høstfiske_2016_014,3,2,5,,Vill
Årdalselva i Ro_Høstfiske_2016_015,3,2,5,,Vill
Årdalselva i Ro_Høstfiske_2016_016,3,3,6,,Vill
Årdalselva i Ro_Høstfiske_2016_017,3,1,4,,Vill
Årdalselva i Ro_Høstfiske_2016_018,,2,,,Vill
Årdalselva i Ro_Høstfiske_2016_019,,2,,,Vill
Årdalselva i Ro_Høstfiske_2016_020,4,2,6,,Vill
Årdalselva i Ro_Høstfiske_2016_021,3,2,5,,Vill
Årdalselva i Ro_Høstfiske_2016_022,3,1,4,,Vill
Årdalselva i Ro_Høstfiske_2016_023,3,2,5,,Vill
Årdalselva i Ro_Høstfiske_2016_024,4,2,6,,Vill
Årdalselva i Ro_Høstfiske_2016_025,3,3,6,,Vill
Årdalselva i Ro_Høstfiske_2016_026,,2,,,Vill
Årdalselva i Ro_Høstfiske_2016_027,,,,,Oppdrett
Årdalselva i Ro_Høstfiske_2016_028,3,2,5,,Vill
Årdalselva i Ro_Høstfiske_2016_029,3,2,5,,Vill
Årdalselva i Ro_Høstfiske_2016_030,3,3,6,,Vill
Årdalselva i Ro_Høstfiske_2016_031,3,2,5,,Vill
Årdalselva i Ro_Høstfiske_2016_032,3,3,6,,Vill
Årdalselva i Ro_Høstfiske_2016_033,3,1,4,,Vill
Årdalselva i Ro_Høstfiske_2016_034,3,1,4,,Vill
Årdalselva i Ro_Høstfiske_2016_035,,2,,,Vill
Årdalselva i Ro_Høstfiske_2016_036,2,2,4,,Vill
Otra_Høstfiske_2016_001,3,,,,Vill
Otra_Høstfiske_2016_002,3,1,4,,Vill
Otra_Høstfiske_2016_003,3,3,6,,Vill
Otra_Høstfiske_2016_004,3,1,4,,Vill
Otra_Høstfiske_2016_005,3,1,4,,Vill
Otra_Høstfiske_2016_006,,1,,,Vill
Otra_Høstfiske_2016_007,2,2,4,,Vill
Otra_Høstfiske_2016_008,3,4,7,3-2-g-g,Vill
Otra_Høstfiske_2016_009,3,1,4,,Vill
