ID nr.,smolt,sjø,totalt,gytarar,vill/oppdrett
Audna2016-001,3,1,4,,.
Audna2016-002,,2,,,Vill
Audna2016-003,,,,,.
Audna2016-004,,,,,.
Audna2016-005,3,1,4,,.
Audna2016-006,3,2,5,,Vill
Audna2016-007,2,2,4,,Vill
Audna2016-008,2,1,3,,.
Audna2016-009,2,1,3,,.
Audna2016-010,2,2,4,,Vill
Audna2016-011,3,1,4,,Vill
Audna2016-012,2,1,3,,Vill
Audna2016-013,2,1,3,,Vill
Audna2016-014,,1,,,Vill
Audna2016-015,3,1,4,,.
Audna2016-016,,,,,Vill
Audna2016-017,2,1,3,,.
Audna2016-018,2,1,3,,.
Audna2016-019,,3,,,.
Audna2016-020,2,1,3,,Vill
Audna2016-021,,4,,?-2-g-1+,.
Audna2016-022,2,2,4,,.
Audna2016-023,,2,,?-1-g-0+,.
Audna2016-024,2,2,4,,Vill
Audna2016-025,,1,,,.
Audna2016-026,,1,,,.
Audna2016-027,2,2,4,2-1-g-0+,.
Audna2016-028,2,2,4,,Vill
Audna2016-029,2,2,4,,Vill
Audna2016-030,3,2,5,,.
Audna2016-031,2,2,4,,.
Audna2016-032,3,2,5,,.
Audna2016-033,2,2,4,,Vill
Audna2016-034,,,,,.
Audna2016-035,2,4,6,2-2-g-1+,Vill
Audna2016-036,,3,,,Vill
Audna2016-037,3,2,5,,Vill
Audna2016-038,2,2,4,,.
Audna2016-039,,2,,,Vill
Audna2016-040,,2,,,.
Audna2016-041,2,2,4,2-1-g-0+,Vill
Audna2016-042,,3,,?-1-g-1+,Vill
Audna2016-043,3,2,5,,.
Audna2016-044,2,2,4,,.
Audna2016-045,,2,,,Vill
Audna2016-046,2,2,4,,Vill
Audna2016-047,,3,,,Vill
Audna2016-048,2,2,4,,Vill
Audna2016-049,2,2,4,,Vill
Audna2016-050,,2,,,Vill
Audna2016-051,,2,,,Vill
Audna2016-052,,1,,,Vill
Audna2016-053,,2,,,Vill
Audna2016-054,3,2,5,3-1-g-0+,Vill
Audna2016-055,,1,,,Vill
Audna2016-056,2,2,4,,.
Audna2016-057,,2,,,Vill
Audna2016-058,,1,,,Vill
Audna2016-059,,1,,,.
Audna2016-060,,2,,,.
Audna2016-061,,2,,,.
Audna2016-062,3,3,6,,.
Audna2016-063,2,2,4,,.
Audna2016-064,,2,,,.
Audna2016-065,2,2,4,,Vill
Audna2016-066,3,2,5,,Vill
Audna2016-067,,5,,,.
Audna2016-068,2,2,4,,Vill
Audna2016-069,2,2,4,,Vill
Audna2016-070,2,2,4,,.
Audna2016-071,2,1,3,,Vill
Audna2016-072,,2,,,.
Audna2016-073,,2,,,.
Audna2016-074,,2,,,.
Audna2016-075,,2,,,.
Audna2016-076,,2,,,.
Audna2016-077,2,2,4,,.
Audna2016-078,2,2,4,,.
Audna2016-079,2,1,3,,Vill
Audna2016-080,,2,,,Vill
Audna2016-081,2,2,4,,Vill
Audna2016-082,3,1,4,,Vill
Audna2016-083,,2,,,.
Audna2016-084,,1,,,Vill
Audna2016-085,,2,,,Vill
Audna2016-086,,2,,,Vill
Audna2016-087,,2,,,.
Audna2016-088,,2,,,.
Audna2016-089,2,2,4,,.
Audna2016-090,2,2,4,2-1-g-0+,.
Audna2016-091,2,2,4,,Vill
Audna2016-092,2,2,4,,.
Audna2016-093,3,1,4,,Vill
Audna2016-094,,5,,,Vill
Audna2016-095,2,3,5,,.
Audna2016-096,2,1,3,,Vill
Audna2016-097,,7,,,Vill
Audna2016-098,,8,,,.
Audna2016-099,,,,,Vill
Audna2016-100,3,2,5,,Vill
Audna2016-101,2,2,4,,Vill
Audna2016-102,2,1,3,,Vill
Audna2016-103,,2,,,Vill
Audna2016-104,3,2,5,,Vill
Audna2016-105,3,2,5,,Vill
Audna2016-106,,2,,,Vill
Audna2016-107,3,2,5,3-1-g-0+,.
Audna2016-108,2,2,4,,Vill
Audna2016-109,,2,,,Vill
Audna2016-110,3,2,5,,Vill
Audna2016-111,2,1,3,,Vill
Audna2016-112,,2,,,Vill
Audna2016-113,3,2,5,,
Audna2016-114,2,1,3,,Vill
Audna2016-115,2,1,3,,Vill
Audna2016-116,3,2,5,,
Audna2016-117,,4,,?-2-g-1+,Vill
Audna2016-118,2,2,4,,
Audna2016-119,3,4,7,3-2-g-1+,
Audna2016-120,3,2,5,,Vill
Audna2016-121,2,2,4,,Vill
Audna2016-122,2,2,4,,Vill
Audna2016-123,2,2,4,,Vill
Audna2016-124,,2,,,Vill
Audna2016-125,2,2,4,,Vill
Audna2016-126,,2,,,Vill
Audna2016-127,2,2,4,,
Audna2016-128,3,3,6,3-2-g-0+,Vill
Audna2016-129,2,2,4,,Vill
Audna2016-130,2,4,6,2-2-g-1+,
Audna2016-131,2,2,4,,
Audna2016-132,,4,,?-2-g-1+,Vill
Audna2016-133,2,2,4,,
Audna2016-134,2,2,4,,Vill
Audna2016-135,3,2,5,,
Audna2016-136,2,2,4,,Vill
Audna2016-137,2,4,6,2-2-g-1+,Vill
Audna2016-138,2,2,4,,
Audna2016-139,2,2,4,,
Audna2016-140,2,4,6,2-2-g-1+,Vill
Audna2016-141,3,2,5,,
Audna2016-142,3,2,5,,
Audna2016-143,3,2,5,3-2-g-0+,Vill
Audna2016-144,3,2,5,,
Audna2016-145,,2,,,
Audna2016-146,,3,,?-2-g-0+,Vill
Audna2016-147,2,2,4,,Vill
Audna2016-148,2,2,4,,
Audna2016-149,,1,,,Vill
Audna2016-150,2,2,4,,Vill
Audna2016-151,2,2,4,,Vill
Audna2016-152,,1,,,Vill
Audna2016-153,2,2,4,,
Audna2016-154,2,3,5,,Vill
Audna2016-155,,3,,,Vill
Audna2016-156,,2,,?-1-g-0+,
Audna2016-157,3,2,5,,Vill
Audna2016-158,,2,,,Vill
Audna2016-159,,2,,,Vill
Audna2016-160,2,2,4,,Vill
Audna2016-161,,1,,,Vill
Audna2016-162,3,1,4,,Vill
Audna2016-163,,,,,Vill
Audna2016-164,2,2,4,,
Audna2016-165,2,2,4,,Vill
Audna2016-166,3,1,4,,Vill
Audna2016-167,3,2,5,,Vill
Audna2016-168,,2,,,Vill
Audna2016-169,2,2,4,,
Audna2016-170,2,3,5,2-2-g-0+,Vill
Audna2016-171,3,2,5,,
Audna2016-172,,4,,?-2-g-1+,
Audna2016-173,,2,,,
Audna2016-174,,2,,,Vill
Audna2016-175,2,2,4,,Vill
Audna2016-176,,2,,,Vill
Audna2016-177,,2,,,Vill
Audna2016-178,,2,,,Vill
Audna2016-179,2,2,4,,Vill
Audna2016-180,3,2,5,,
Audna2016-181,3,2,5,,Vill
Audna2016-182,2,2,4,,Vill
Audna2016-183,,2,,,Vill
Audna2016-184,3,2,5,,Vill
Audna2016-185,,2,,,Vill
Audna2016-186,,2,,,Vill
Audna2016-187,,3,,?-1-g-1+,Vill
Audna2016-188,,,,,Vill
Audna2016-189,,2,,,
Audna2016-190,,3,,,Vill
Audna2016-191,,2,,,
Audna2016-192,3,3,6,,Vill
Audna2016-193,3,2,5,,Vill
