ID nr.,smolt,sjø,totalt,gytarar,vill/oppdrett
BJE-17H_01,3,2,5,,Vill
BJE-17H_02,,1,,,Vill
BJE-17H_03,2,1,3,,Vill
BJE-17H_04,,2,,,Vill
BJE-17H_05,,2,,,Vill
BJE-17H_06,2,2,4,,Vill
BJE-17H_07,,2,,,Vill
BJE-17H_08,3,2,5,,Vill
BJE-17H_09,3,2,5,,Vill
BJE-17H_10,4,2,6,,Vill
BJE-17H_11,3,2,5,,Vill
BJE-17H_12,3,2,5,,Vill
BJE-17H_13,,2,,,Vill
BJE-17H_14,3,0,3,,Vill
BJE-17H_15,2,2,4,,Vill
BJE-17H_16,,1,,,Vill
BJE-17H_17,3,2,5,,Vill
BJE-17H_18,3,1,4,,Vill
BJE-17H_19,,0,,,Vill
BJE-17H_20,,2,,,Vill
BJE-17H_21,3,2,5,,Vill
BJE-17H_22,3,1,4,,Vill
BJE-17H_23,3,1,4,,Vill
BJE-17H_24,1,1,2,,Vill
BJE-17H_25,2,1,3,,Vill
BJE-17H_26,3,2,5,,Vill
BJE-17H_27,3,2,5,,Vill
BJE-17H_28,,1,,,Vill
BJE-17H_29,4,1,5,,Vill
BJE-17H_30,2,2,4,,Vill
BJE-17H_31,,1,,,Vill
BJE-17H_32,3,2,5,,Vill
BJE-17H_33,2,2,4,,Vill
BJE-17H_34,2,2,4,,Vill
BJE-17H_35,3,1,4,,Vill
BJE-17H_36,3,2,5,,Vill
BJE-17H_37,,2,,,Vill
BJE-17H_38,2,2,4,,Vill
BJE-17H_39,3,1,4,,Vill
BJE-17H_40,2,2,4,,Vill
BJE-17H_41,,2,,,Vill
BJE-17H_42,,2,,,Vill
BJE-17H_43,,0,,,Vill
BJE-17H_44,3,2,5,,Vill
BJE-17H_45,,1,,,Vill
BJE-17H_46,3,1,4,,Vill
BJE-17H_47,,2,,,Vill
BJE-17H_48,,1,,,Vill
BJE-17H_49,,2,,,Vill
BJE-17H_50,,0,,,Vill
BJE-17H_51,,1,,,Vill
BJE-17H_52,2,1,3,,Vill
BJE-17H_53,,0,,,Vill
BJE-17H_54,,0,,,Vill
BJE-17H_55,,0,,,Vill
BJE-17H_56,,0,,,Vill
BJE-17H_57,3,1,4,,Vill
BJE-17H_58,2,2,4,,Vill
BJE-17H_59,2,2,4,,Vill
BJE-17H_60,,1,,,Vill
BJE-17H_61,,1,,,Vill
BJE-17H_62,3,2,5,,Vill
BJE-17H_63,3,1,4,,.
BJE-17H_64,,0,,,Vill
BJE-17H_65,2,1,3,,Vill
BJE-17H_66,2,1,3,,Vill
BJE-17H_67,,2,,,Vill
BJE-17H_68,2,1,3,,Vill
BJE-17H_69,,1,,,Vill
BJE-17H_70,3,2,5,,Vill
BJE-17H_71,,3,,,Vill
BJE-17H_72,,0,,,Vill
BJE-17H_73,3,2,5,,Vill
BJE-17H_74,,1,,,Vill
BJE-17H_75,,2,,,Vill
BJE-17H_76,,2,,,Vill
BJE-17H_77,,1,,,Vill
BJE-17H_78,,1,,,Vill
BJE-17H_79,,1,,,Vill
BJE-17H_80,2,2,4,,Vill
BJE-17H_81,,0,,,Vill
BJE-17H_82,,2,,,Vill
BJE-17H_83,3,2,5,,Vill
BRE17H-01,,1,,,Vill
BRE17H-02,4,1,5,,Vill
BRE17H-03,,1,,,Vill
BRE17H-04,4,1,5,,Vill
BRE17H-05,3,3,6,,Vill
BRE17H-06,,,,,Oppdrett
BRE17H-07,4,1,5,,Vill
BRE17H-08,3,1,4,,Vill
BRE17H-09,,,,,Oppdrett
BRE17H-10,4,2,6,,Vill
BRE17H-11,,,,,.
BRE17H-12,,2,,,Vill
BRE17S-001,,2,,,Vill
BRE17S-002,4,2,6,,Vill
BRE17S-003,,3,,,Vill
BRE17S-004,4,1,5,,Vill
BRE17S-005,4,2,6,,Vill
BRE17S-006,4,1,5,,Vill
BRE17S-007,3,1,4,,Vill
BRE17S-008,3,2,5,,Vill
BRE17S-009,3,2,5,,Vill
BRE17S-010,,2,,,Vill
BRE17S-011,4,3,7,,Vill
BRE17S-012,3,2,5,,Vill
BRE17S-013,4,1,5,,Vill
BRE17S-014,2,1,3,,Vill
BRE17S-015,,1,,,Vill
BRE17S-016,4,2,6,,Vill
BRE17S-017,3,2,5,,Vill
BRE17S-018,,2,,,Vill
BRE17S-019,5,1,6,,Vill
BRE17S-020,5,1,6,,Vill
BRE17S-021,4,2,6,,Vill
BRE17S-022,4,2,6,,Vill
BRE17S-023,5,2,7,,Vill
BRE17S-024,5,2,7,,Vill
BRE17S-025,3,2,5,,Vill
BRE17S-026,4,2,6,,Vill
BRE17S-027,,2,,,Vill
BRE17S-028,4,2,6,,Vill
BRE17S-029,4,1,5,,Vill
BRE17S-030,3,3,6,,Vill
BRE17S-031,3,2,5,,Vill
BRE17S-032,3,1,4,,Vill
BRE17S-033,4,1,5,,Vill
BRE17S-034,3,2,5,,Vill
BRE17S-035,3,1,4,,Vill
BRE17S-036,4,2,6,,Vill
BRE17S-037,4,2,6,,Vill
BRE17S-038,,1,,,.
