fishno filename y y_hat magnitude  "Squared e"
1 1.jpg 2 2.0651736 0.065173625946045  0.00424759813696
2 2.jpg 1 0.9859779 0.0140221118927  0.00019661928841
3 3.jpg 2 2.0039446 0.003944635391235  1.55598691600006E-05
4 4.jpg 2 1.996127 0.003872990608215  1.50001290000001E-05
5 5.jpg 4 3.9060993 0.093900680541992  0.00881734146049
6 6.jpg 2 1.9984041 0.001595854759216  2.5468968100003E-06
7 7.jpg 1 0.98254186 0.017458140850067  0.00030478665226
8 8.jpg 2 1.9996624 0.000337600708008  1.13973759999958E-07
9 9.jpg 2 1.9799242 0.020075798034668  0.00040303774564
10 10.jpg 2 2.684898 0.684897899627685  0.469085270404
11 11.jpg 3 2.8085828 0.191417217254639  0.03664054445584
12 12.jpg 2 2.390748 0.390748023986816  0.152683999504
13 13.jpg 2 1.9908057 0.009194254875183  8.45351524900018E-05
14 14.jpg 2 1.9957447 0.004255294799805  1.81075780900006E-05
15 15.jpg 3 2.9247503 0.075249671936035  0.00566251735009
16 16.jpg 1 1.0092968 0.009296774864197  8.64304902399999E-05
17 17.jpg 3 2.9456658 0.054334163665772  0.00295220528964
18 18.jpg 2 2.0134451 0.013445138931275  0.00018077071401
19 19.jpg 2 2.0152798 0.015279769897461  0.00023347228804
20 20.jpg 2 1.997575 0.002424955368042  5.88062500000059E-06
21 21.jpg 3 2.8961086 0.103891372680664  0.01079342299396
22 22.jpg 1 1.9568152 0.956815242767334  0.91549532695104
23 23.jpg 2 1.9936225 0.006377458572388  4.06725062500019E-05
24 24.jpg 1 0.9755707 0.024429321289063  0.00059679069849
25 25.jpg 2 1.9868416 0.013158440589905  0.00017314349056
26 26.jpg 2 2.0107937 0.010793685913086  0.00011650395969
27 27.jpg 3 2.0564966 0.943503379821777  0.89019866581156
28 28.jpg 2 2.0618966 0.061896562576294  0.00383118909156
29 29.jpg 1 0.9796327 0.020367324352264  0.00041482690929
30 30.jpg 2 2.0723553 0.072355270385742  0.00523528943809
31 31.jpg 2 1.9898727 0.010127305984497  0.00010256220529
